recipient_parent_name,top_words_from_serv_desc,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number,analysis_date,raw_data_download_date
BATTELLE MEMORIAL INSTITUTE INC,"oper, govt, r&d, goco, facilities",1,22588400449.29,22588400449.29,2016-05-27 00:00:00.000000,2017-09-30 00:00:00.000000,902 BATTELLE BLVD,,RICHLAND,WA,WASHINGTON,993521873,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SPECTRUM SECURITY SERVICES  INC.,"guard, housekeeping, services",128,17318900968.77998,19029713559.099976,2008-09-08 00:00:00.000000,2018-12-11 00:00:00.000000,13967 HIGHWAY 94 STE 101,,JAMUL,CA,CALIFORNIA,919353232,50,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CSI AVIATION SERVICES  INC.,"travel, air, passenger, transportation, relocation",63,5897377586.010002,7426943574.010005,2009-03-31 00:00:00.000000,2018-06-30 00:00:00.000000,3700 RIO GRANDE BLVD NW,,ALBUQUERQUE,NM,NEW MEXICO,871072876,01,5057619000,5053427377,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INGENESIS INC.,"medical, general, health, care",20,3530665471.799999,4874056136.040001,2012-07-16 00:00:00.000000,2018-07-15 00:00:00.000000,10231 KOTZEBUE ST,,SAN ANTONIO,TX,TEXAS,782174430,21.0,2103660033,2105684582,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
THE GEO GROUP INC,"guard, housekeeping, support, services, program",115,3335807433.5999975,16630100331.77999,2007-06-01 00:00:00.000000,2029-10-11 00:00:00.000000,621 NW 53RD ST STE 700,,BOCA RATON,FL,FLORIDA,334878242,22,5619997359,5619997648,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PHACIL  INC.,"telecom, help, desk",47,2889114962.130002,3027381223.129998,2012-09-10 00:00:00.000000,2018-09-09 00:00:00.000000,800 N GLEBE RD STE 700,,ARLINGTON,VA,VIRGINIA,222032149,8.0,7035261800,7033662900,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SPECTRUM SECURITY SERVICES  INC.,"housekeeping, guard",13,1864529927.1599994,1997932999.1599994,2011-12-21 00:00:00.000000,2016-02-29 00:00:00.000000,13967 HIGHWAY 94 STE 101,,JAMUL,CA,CALIFORNIA,919353232,52,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ASSET PROTECTION & SECURITY SERVICES  L.P.,"guard, housekeeping, oper, govt, misc",19,1400854362.14,1633666188.2600002,2009-09-30 00:00:00.000000,2018-09-30 00:00:00.000000,5502 BURNHAM DR,,CORPUS CHRISTI,TX,TEXAS,784133787,27,3619061552,3619061844,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WIDEPOINT CORPORATION,"support, professional:, program, management",25,1318187463.2300003,5204159998.749998,2015-04-09 00:00:00.000000,2018-12-08 00:00:00.000000,7926 JONES BRANCH DR STE 520,,MC LEAN,VA,VIRGINIA,221023371,11,7033495644,7038483560,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
TRAILBOSS ENTERPRISES  INC.,"housekeeping, facilities, operations, support, guard",13,1266681710.53,3871661298.03,2012-06-01 00:00:00.000000,2018-09-30 00:00:00.000000,201 EAST 3RD AVE,,ANCHORAGE,AK,ALASKA,995012503,00,9073388243,9073380869,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CORRECTIONS CORPORATION OF AMERICA,"guard, housekeeping, services, support, facilities",58,1230570484.3500001,2311515871.9100003,2009-04-01 00:00:00.000000,2019-06-30 00:00:00.000000,10 BURTON HILLS BLVD,,NASHVILLE,TN,TENNESSEE,372156105,05,6152636713,6152633090,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AHTNA  INCORPORATED,"guard, housekeeping, services, penal, facilities",29,964480785.7700001,3692711034.6499996,2010-02-01 00:00:00.000000,2018-11-30 00:00:00.000000,110 W 38TH AVE STE 200D,,ANCHORAGE,AK,ALASKA,995035677,0.0,9073346477,9073346750,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
G4S PLC,"guard, housekeeping, services, social, rehabilitation",181,963025271.7400008,1101116612.8600001,2009-08-12 00:00:00.000000,2019-01-31 00:00:00.000000,4200 WACKENHUT DR STE 100,,PALM BEACH GARDENS,FL,FLORIDA,334104243,18,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CLASSIC AIR CHARTER INC.,"travel, transportation, relocation, lodging, recruitment:",6,748322391.5999999,3851914089.2,2017-10-20 00:00:00.000000,2023-06-30 00:00:00.000000,460 NEW YORK AVE,,HUNTINGTON,NY,NEW YORK,117433432,03,6315495021,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NANA REGIONAL CORPORATION INC,"housekeeping, guard, relocation, services, transportation",22,597966938.6999998,4151454718.0,2008-09-25 00:00:00.000000,2025-01-31 00:00:00.000000,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,,ANCHORAGE,AK,ALASKA,99502,0.0,7037666837,7037666906,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SRA INTERNATIONAL  INC.,"support, professional:, communications, program, management",45,594020316.7199999,1370447892.6,2016-06-20 00:00:00.000000,2022-09-29 00:00:00.000000,4300 FAIR LAKES CT,,FAIRFAX,VA,VIRGINIA,220334232,11,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,"telecom, systems, development, equipment, telecommunications",4,532257333.21,704810050.78,2014-09-25 00:00:00.000000,2015-09-24 00:00:00.000000,1710 SAIC DR,,MCLEAN,VA,VIRGINIA,22102,,7036765681,7036765063,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
M V M  INC.,"guard, housekeeping, support, administrative:, translation",41,472671936.0800001,1767798633.4099998,2008-06-27 00:00:00.000000,2022-08-03 00:00:00.000000,44620 GUILFORD DR STE 150,,ASHBURN,VA,VIRGINIA,201476063,10.0,5712234620,5712234487,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
UNIVERSAL LANGUAGE CORPORATION,"translation, admin, svcs, sign, languag",41,418005230.28,850048163.2799997,2007-09-10 00:00:00.000000,2014-03-22 00:00:00.000000,97 12 63RD DR STE 2 A,,REGO PARK,NY,NEW YORK,113742244,06,7189979369,7184590331,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
THE MITRE CORPORATION,"programming, r&d, research, development, (engineering",27,406256774.41000015,410885040.41000015,2008-08-29 00:00:00.000000,2018-01-12 00:00:00.000000,7515 COLSHIRE DR,,MC LEAN,VA,VIRGINIA,221027539,8.0,7039836474,7039837121,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ENTERPRISE SERVICES LLC,"telecom, data, centers, storage",9,383197717.72999996,685143994.7899998,2017-06-09 00:00:00.000000,2020-06-26 00:00:00.000000,13600 EDS DR A3S-B53,,HERNDON,VA,VIRGINIA,201713299,10.0,7037333793,7037422674,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SAVANTAGE FINANCIAL SERVICES  INC.,"telecommunications, telecom, adp, &, svcs",11,367464380.63,682612384.4199998,2009-12-08 00:00:00.000000,2020-12-31 00:00:00.000000,1355 PICCARD DR STE 425,,ROCKVILLE,MD,MARYLAND,208504339,8.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BOOZ ALLEN HAMILTON HOLDING CORPORATION,"support, professional:, program, management, telecom",43,366408185.17000026,1161358274.940001,2009-09-28 00:00:00.000000,2023-01-16 00:00:00.000000,8283 GREENSBORO DR,,MCLEAN,VA,VIRGINIA,221023830,11.0,7033770667,7039023200,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MAXIM HEALTHCARE SERVICES  INC.,"medical, general, health, care",12,357739433.50000006,357739433.50000006,2014-09-11 00:00:00.000000,2018-09-22 00:00:00.000000,7227 LEE DEFOREST DR,,COLUMBIA,MD,MARYLAND,210463236,03,4109101553,4109101615,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DELOITTE LLP,"support, management, professional:, program, financial",70,308665292.79999995,726008456.3100002,2009-08-19 00:00:00.000000,2022-09-22 00:00:00.000000,1725 DUKE ST,,ALEXANDRIA,VA,VIRGINIA,223143456,08,5718826190,7039963387,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
KNIGHT POINT SYSTEMS  LLC,"telecom, help, desk, telecommunications, support",19,290709835.0300001,881025277.1799996,2011-08-15 00:00:00.000000,2021-06-29 00:00:00.000000,1775 WIEHLE AVE STE 101,,RESTON,VA,VIRGINIA,201905109,11,7036577051,5712663106,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GLOBAL PRECISION SYSTEMS  LLC,"housekeeping, guard",20,286071906.85999995,1683557406.3999999,2015-09-23 00:00:00.000000,2019-07-27 00:00:00.000000,4600 DEBARR RD STE 200,,ANCHORAGE,AK,ALASKA,995083103,00,9073348348,9075632742,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CACI INTERNATIONAL INC,"support, professional:, miscellaneous, communication, equipment",7,270917848.18,656015861.13,2007-10-22 00:00:00.000000,2021-03-17 00:00:00.000000,14370 NEWBROOK DRIVE,,CHANTILLY,VA,VIRGINIA,201512218,10,7036794137,7036793402,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MCKINSEY & COMPANY  INC.,"support, management:, professional:",14,218993402.36,284532259.77000004,2015-10-21 00:00:00.000000,2019-05-23 00:00:00.000000,1200 19TH ST NW STE 1100,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200362412,0.0,2026621185,2026623256,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PALANTIR TECHNOLOGIES INC.,"data, telecom, information, broadcasting, distribution",17,210030878.39999998,511137693.27,2011-02-24 00:00:00.000000,2018-11-27 00:00:00.000000,100 HAMILTON AVE STE 300,,PALO ALTO,CA,CALIFORNIA,943011651,18.0,6508150200,6506182298,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BEN FITZGERALD REAL ESTATE SERVICES  L.L.C.,"facilities, operations, support, housekeeping, svcs",165,198164093.43000004,239318637.86000004,2008-09-25 00:00:00.000000,2019-04-30 00:00:00.000000,1530 S SOUTHWEST LOOP 323,,TYLER,TX,TEXAS,757012556,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FORFEITURE SUPPORT ASSOCIATES  LLC,"support, legal, professional:, services, program",24,197134802.88000005,197134802.88000005,2010-03-23 00:00:00.000000,2016-09-30 00:00:00.000000,20110 ASHBROOK PL STE 220,,ASHBURN,VA,VIRGINIA,201475060,10,5712918900,5712918957,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CAP GEMINI,"support, professional:, services, professional, program",13,192649834.65,236690109.25,2009-09-25 00:00:00.000000,2023-06-30 00:00:00.000000,1900 CAMPUS COMMONS DR #250,,RESTON,VA,VIRGINIA,201911560,11,5713361618,5713361700,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PHACIL  INC.,"telecom, help, desk",3,184069464.84,193242507.54,2013-07-04 00:00:00.000000,2018-09-09 00:00:00.000000,950 N GLEBE RD STE 910,,ARLINGTON,VA,VIRGINIA,222034173,08,7035261800,7037387100,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
STG INTERNATIONAL  INC.,"support, professional:, program, management, services",2,179073654.4,904279833.6,2007-08-22 00:00:00.000000,2023-02-19 00:00:00.000000,99 CANAL CTR PLZ STE 500,,ALEXANDRIA,VA,VIRGINIA,223145504,8.0,7035786030,5712556545,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DEV TECHNOLOGY GROUP  INC.,"telecom, programming, services, systems, development",24,164835388.05000004,416714485.7699999,2011-05-23 00:00:00.000000,2022-02-28 00:00:00.000000,1984 ISAAC NEWTON SQ W STE 302,,RESTON,VA,VIRGINIA,201905041,11.0,7038608135,7038608138,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GRANT THORNTON INTERNATIONAL LTD,"support, management, program, professional:, management:",13,129198531.82000001,211537456.38,2008-09-17 00:00:00.000000,2023-04-23 00:00:00.000000,333 JOHN CARLYLE ST STE 500,,ALEXANDRIA,VA,VIRGINIA,223145767,08,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
GENERAL DYNAMICS CORPORATION,"ammunition,, 30mm, equipment, public, relations",24,128909913.70999998,355797270.35999995,2010-05-11 00:00:00.000000,2020-12-31 00:00:00.000000,3170 FAIRVIEW PARK DR,,FALLS CHURCH,VA,VIRGINIA,220424516,11,7038761243,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
UNIVERSAL LANGUAGE CORPORATION,"support, administrative:, translation, interpreting, transcription",10,118690381.80999999,242131219.81000003,2011-12-28 00:00:00.000000,2013-09-07 00:00:00.000000,97 12 63RD DR STE 2 A,,REGO PARK,NY,NEW YORK,113742244,06,7189979369,7184590331,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ISYS  LLC,"support, professional:, program, management",6,109989327.34,434554036.3000001,2014-10-16 00:00:00.000000,2018-12-08 00:00:00.000000,11715 CRIPPEN CT,,GREAT FALLS,VA,VIRGINIA,220661624,10,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AFOGNAK NATIVE CORPORATION,"support, housekeeping, facilities, operations, logistics",25,106514795.91000003,139221085.24999994,2011-08-05 00:00:00.000000,2019-10-31 00:00:00.000000,3909 ARCTIC BLVD STE 400,,ANCHORAGE,AK,ALASKA,995030000,,9072229500,9072229501,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
360 IT INTEGRATED SOLUTIONS,"telecom, facility, operation, maintenance, telecommunications",7,99058469.68,131872201.78999999,2014-09-15 00:00:00.000000,2020-09-29 00:00:00.000000,1943 ISAAC NEWTON SQ E #200,,RESTON,VA,VIRGINIA,201905014,11.0,8884580345,7034373709,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NET DIRECT SYSTEMS  LLC,"equipment, support, adp, information, technology",1261,95057036.9199998,134527913.5599998,2010-02-01 00:00:00.000000,2018-12-13 00:00:00.000000,2524 RELIANCE AVE,,APEX,NC,NORTH CAROLINA,275396346,4.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NATIVE ENERGY & TECHNOLOGY  INC.,"government, maintenance, owned, operated, (gogo)",9,91875064.11,344058100.66,2017-06-06 08:27:49.000000,2027-06-05 00:00:00.000000,12793 COGBURN AVE,,SAN ANTONIO,TX,TEXAS,782492239,20,2102316060,2102316098,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
HARRIS CORPORATION,"equipment, electronic, quick, countermeasures,, counter",15,81262786.38,381808060.6399999,2010-05-03 00:00:00.000000,2022-10-02 00:00:00.000000,2400 PALM BAY RD NE,,PALM BAY,FL,FLORIDA,329053377,8.0,3217276361,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
U.S. BANCORP,"support, management:, financial",4,80775177.37,116507561.16999999,2012-09-28 00:00:00.000000,2023-04-27 00:00:00.000000,800 NICOLLET MALL STE 1500,,MINNEAPOLIS,MN,MINNESOTA,554027000,05,2022610806,2022610800,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
AIRCRAFT TRANSPORT SERVICES  INC.,"travel, transportation, relocation, lodging, recruitment:",8,78958426.0,174419086.0,2016-12-01 00:00:00.000000,2020-11-30 00:00:00.000000,4285 SW MARTIN HWY,,PALM CITY,FL,FLORIDA,349908615,18,5612104373,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
JATOM SYSTEMS INC,"software, information, technology, adp, telephone",5,76231779.09,96593064.80000001,2011-07-20 00:00:00.000000,2020-01-19 00:00:00.000000,15004 NORTHRIDGE DR # 100,,CHANTILLY,VA,VIRGINIA,201513817,10.0,7034665220,7034665299,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
XL ASSOCIATES  INC.,"support, professional:, program, management, management:",28,73251941.21999997,82247729.77999999,2014-07-11 00:00:00.000000,2021-11-24 00:00:00.000000,8614 WESTWOOD CENTER DR STE 700,,VIENNA,VA,VIRGINIA,221822264,11,7038480400,7032569508,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NET DIRECT SYSTEMS  LLC,"adp, support, equipment, central, processing",73,71683687.14,140757721.26000002,2011-12-28 00:00:00.000000,2016-02-25 00:00:00.000000,2524 RELIANCE AVE,,APEX,NC,NORTH CAROLINA,275396346,04,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
G4S PLC,"housekeeping, guard",14,71543309.32000001,105877969.74000001,2011-12-23 00:00:00.000000,2014-03-24 00:00:00.000000,4200 WACKENHUT DR STE 100,,PALM BEACH GARDENS,FL,,334104242,FL22,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
STRATEGIC ENTERPRISE SOLUTIONS  INC.,"telecom, cyber, security, data, backup",9,70149114.39,558636641.91,2014-08-29 00:00:00.000000,2021-09-08 00:00:00.000000,11951 FREEDOM DR STE 1300,,RESTON,VA,VIRGINIA,201905642,11,7032514848,7032514440,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
K'OYITL'OTS'INA LIMITED,"facilities, support, operations, housekeeping, government",44,69766847.61999999,165846525.6600001,2009-12-24 00:00:00.000000,2023-02-28 00:00:00.000000,1603 COLLEGE RD,,FAIRBANKS,AK,ALASKA,997094175,0.0,9074528119,9074528109,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ACCENTURE INC.,"telecom, cyber, security, data, backup",4,63356892.0,157090562.4,2016-04-20 09:50:34.000000,2021-09-27 00:00:00.000000,44 CANAL CENTER PLAZA SUITE 305,,ALEXANDRIA,VA,VIRGINIA,223141552,08,5407299926,5713662006,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MIRACLE SYSTEMS LLC,"support, management:, financial",7,55117443.599999994,247980121.39999998,2017-07-05 10:34:10.000000,2022-07-31 00:00:00.000000,"1555 WILSON BLVD, SUITE 600",,ARLINGTON,VA,VIRGINIA,222092445,08,5713311355,2023153261,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BOWHEAD SUPPORT GROUP LLC,"support, administrative:, data, entry, adp",3,52774699.1,52774699.1,2010-09-28 00:00:00.000000,2018-03-29 00:00:00.000000,3201 C ST STE 801,,ANCHORAGE,AK,ALASKA,995033934,0.0,2563823260,2563823265,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
THE MITRE CORPORATION,"telecom, programming, support, professional:, engineering",4,52139330.06,52573630.06,2012-02-13 00:00:00.000000,2013-08-31 00:00:00.000000,7515 COLSHIRE DR,,MC LEAN,VA,VIRGINIA,221027508,08,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INTERNATIONAL BUSINESS MACHINES CORPORATION,"software, adp, telecom, systems, development",5,51572713.61,57023206.17,2009-09-25 00:00:00.000000,2017-08-31 00:00:00.000000,6710 ROCKLEDGE DRIVE,,BETHESDA,MD,MARYLAND,20817,,8003336705,8885200533,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"CLEARAVENUE, LLC","telecom, programming, annual, software, maintenance",10,51430014.86,95348206.52,2011-09-01 00:00:00.000000,2020-01-13 00:00:00.000000,3 CEDARWOOD DR,,MORGANTOWN,WV,WEST VIRGINIA,26505,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
NAKAMOTO GROUP  INC.  THE,"support, services, management:, program, evaluation",8,49318407.81,68158577.96000001,2008-05-29 00:00:00.000000,2020-05-13 00:00:00.000000,3347 ECLIPSE DR,,JEFFERSON,MD,MARYLAND,217557603,6.0,3015801706,3014686536,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
WEST PUBLISHING CORPORATION,"telecom, web, based, subscription, information",10,47628895.35,107430425.42999999,2010-05-03 00:00:00.000000,2021-03-31 00:00:00.000000,610 OPPERMAN DR,,SAINT PAUL,MN,MINNESOTA,551231340,2.0,6512443819,8007049378,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
FOUR POINTS TECHNOLOGY  L.L.C.,"components, adp, information, technology, software",17,46309662.43000001,215997249.87000006,2010-07-02 00:00:00.000000,2021-09-26 00:00:00.000000,14900 CONFERENCE CENTER DR STE 100,,CHANTILLY,VA,VIRGINIA,201513813,10.0,7036576101,7036576135,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
