recipient_parent_name,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number
BATTELLE MEMORIAL INSTITUTE INC,1,22588400449.29,22588400449.29,2016-05-27 00:00:00,2017-09-30 00:00:00,902 BATTELLE BLVD,,RICHLAND,WA,WASHINGTON,993521873,,,
SPECTRUM SECURITY SERVICES  INC.,128,17318900968.77998,19029713559.099976,2008-09-08 00:00:00,2018-12-11 00:00:00,13967 HIGHWAY 94 STE 101,,JAMUL,CA,CALIFORNIA,919353232,50,,
CSI AVIATION SERVICES  INC.,63,5897377586.010001,7426943574.010003,2009-10-05 00:00:00,2018-06-30 00:00:00,3700 RIO GRANDE BLVD NW,,ALBUQUERQUE,NM,NEW MEXICO,871072876,1.0,5057619000,5053427377
INGENESIS INC.,20,3530665471.799999,4874056136.04,2012-07-16 00:00:00,2018-07-15 00:00:00,10231 KOTZEBUE ST,,SAN ANTONIO,TX,TEXAS,782174430,21.0,2103660033,2105684582
THE GEO GROUP INC,115,3335807433.599998,16630100331.77999,2007-06-01 00:00:00,2029-10-11 00:00:00,621 NW 53RD ST STE 700,,BOCA RATON,FL,FLORIDA,334878242,22,5619997359,5619997648
PHACIL  INC.,47,2889114962.1300015,3027381223.129998,2012-09-10 00:00:00,2018-09-09 00:00:00,800 N GLEBE RD STE 700,,ARLINGTON,VA,VIRGINIA,222032149,8.0,7035261800,7033662900
SPECTRUM SECURITY SERVICES  INC.,13,1864529927.1599994,1997932999.1599994,2011-12-21 00:00:00,2016-02-29 00:00:00,13967 HIGHWAY 94 STE 101,,JAMUL,CA,CALIFORNIA,919353232,52,,
ASSET PROTECTION & SECURITY SERVICES  L.P.,19,1400854362.14,1633666188.2600002,2009-09-30 00:00:00,2018-09-30 00:00:00,5502 BURNHAM DR,,CORPUS CHRISTI,TX,TEXAS,784133787,27,3619061552,3619061844
WIDEPOINT CORPORATION,25,1318187463.2300003,5204159998.749998,2015-04-09 00:00:00,2018-12-08 00:00:00,7926 JONES BRANCH DR STE 520,,MC LEAN,VA,VIRGINIA,221023371,11,7033495644,7038483560
TRAILBOSS ENTERPRISES  INC.,13,1266681710.53,3871661298.03,2012-06-01 00:00:00,2018-09-30 00:00:00,201 EAST 3RD AVE,,ANCHORAGE,AK,ALASKA,995012503,00,9073388243,9073380869
CORRECTIONS CORPORATION OF AMERICA,58,1230570484.35,2311515871.91,2009-07-24 00:00:00,2019-06-30 00:00:00,10 BURTON HILLS BLVD,,NASHVILLE,TN,TENNESSEE,372156105,05,6152636713,6152633090
AHTNA  INCORPORATED,29,964480785.7700001,3692711034.6499996,2010-02-01 00:00:00,2018-11-30 00:00:00,110 W 38TH AVE STE 200D,,ANCHORAGE,AK,ALASKA,995035677,00,9073346477,9073346750
G4S PLC,181,963025271.7400008,1101116612.8600001,2010-03-19 00:00:00,2019-01-31 00:00:00,4200 WACKENHUT DR STE 100,,PALM BEACH GARDENS,FL,FLORIDA,334104243,18,,
CLASSIC AIR CHARTER INC.,6,748322391.5999999,3851914089.2,2017-10-20 00:00:00,2023-06-30 00:00:00,460 NEW YORK AVE,,HUNTINGTON,NY,NEW YORK,117433432,03,6315495021,
NANA REGIONAL CORPORATION INC,22,597966938.6999998,4151454718.0,2008-09-25 00:00:00,2025-01-31 00:00:00,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,,ANCHORAGE,AK,ALASKA,99502,0.0,7037666837,7037666906
SRA INTERNATIONAL  INC.,45,594020316.7199999,1370447892.6,2016-06-20 00:00:00,2022-09-29 00:00:00,4300 FAIR LAKES CT,,FAIRFAX,VA,VIRGINIA,220334232,11.0,,
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION,4,532257333.21,704810050.78,2014-09-25 00:00:00,2015-09-24 00:00:00,1710 SAIC DR,,MCLEAN,VA,VIRGINIA,22102,,7036765681,7036765063
M V M  INC.,41,472671936.0800002,1767798633.4099998,2008-06-27 00:00:00,2022-08-03 00:00:00,44620 GUILFORD DR STE 150,,ASHBURN,VA,VIRGINIA,201476063,10.0,5712234620,5712234487
UNIVERSAL LANGUAGE CORPORATION,41,418005230.28000003,850048163.2799997,2009-09-09 00:00:00,2014-03-22 00:00:00,97 12 63RD DR STE 2 A,,REGO PARK,NY,NEW YORK,113742244,06,7189979369,7184590331
THE MITRE CORPORATION,27,406256774.41000015,410885040.41000015,2008-08-29 00:00:00,2018-01-12 00:00:00,7515 COLSHIRE DR,,MC LEAN,VA,VIRGINIA,221027539,8.0,7039836474,7039837121
ENTERPRISE SERVICES LLC,9,383197717.73,685143994.79,2017-06-09 00:00:00,2020-06-26 00:00:00,13600 EDS DR A3S-B53,,HERNDON,VA,VIRGINIA,201713299,10.0,7037333793,7037422674
SAVANTAGE FINANCIAL SERVICES  INC.,11,367464380.63,682612384.4199998,2009-12-08 00:00:00,2020-12-31 00:00:00,1355 PICCARD DR STE 425,,ROCKVILLE,MD,MARYLAND,208504339,8.0,,
BOOZ ALLEN HAMILTON HOLDING CORPORATION,43,366408185.17000026,1161358274.940001,2009-09-28 00:00:00,2023-01-16 00:00:00,8283 GREENSBORO DR,,MCLEAN,VA,VIRGINIA,221023830,11.0,7033770667,7039023200
MAXIM HEALTHCARE SERVICES  INC.,12,357739433.50000006,357739433.50000006,2017-03-23 00:00:00,2018-09-22 00:00:00,7227 LEE DEFOREST DR,,COLUMBIA,MD,MARYLAND,210463236,03,4109101553,4109101615
DELOITTE LLP,70,308665292.79999995,726008456.3100001,2010-03-15 00:00:00,2022-09-22 00:00:00,1725 DUKE ST,,ALEXANDRIA,VA,VIRGINIA,223143456,8.0,5718826190,7039963387
